"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","youtube.com","22,443,163","100"
"2","apple.com","6,438,514","100"
"3","www.google.com","14,251,859","100"
"4","www.blogger.com","29,820,514","99"
"5","microsoft.com","5,142,630","99"
"6","linkedin.com","11,817,382","99"
"7","play.google.com","3,802,904","99"
"8","support.google.com","5,352,632","99"
"9","youtu.be","5,103,765","98"
"10","mozilla.org","2,379,964","98"
"11","cloudflare.com","6,387,890","98"
"12","wordpress.org","11,847,706","98"
"13","en.wikipedia.org","6,938,519","98"
"14","maps.google.com","5,839,863","98"
"15","docs.google.com","3,269,830","98"
"16","sites.google.com","2,182,292","97"
"17","googleusercontent.com","3,340,205","97"
"18","adobe.com","2,851,848","97"
"19","accounts.google.com","2,566,855","97"
"20","drive.google.com","2,403,509","97"
"21","bp.blogspot.com","17,811,014","97"
"22","whatsapp.com","3,613,150","97"
"23","europa.eu","2,208,007","97"
"24","plus.google.com","11,164,866","97"
"25","vimeo.com","3,531,067","96"
"26","t.me","1,185,543","96"
"27","amazon.com","4,925,959","96"
"28","uol.com.br","685,770","96"
"29","github.com","2,823,629","96"
"30","policies.google.com","2,617,356","96"
"31","facebook.com","58,395,171","96"
"32","istockphoto.com","3,598,013","96"
"33","vk.com","1,783,646","96"
"34","forbes.com","1,402,871","95"
"35","google.com.br","296,098","95"
"36","gravatar.com","12,296,308","95"
"37","line.me","882,150","95"
"38","paypal.com","1,118,066","95"
"39","ok.ru","361,759","95"
"40","brandbucket.com","11,194,373","95"
"41","creativecommons.org","1,726,977","95"
"42","dropbox.com","1,100,315","95"
"43","www.yahoo.com","1,337,839","95"
"44","www.weebly.com","5,128,299","95"
"45","youronlinechoices.com","574,161","95"
"46","dan.com","3,714,841","95"
"47","google.es","476,325","95"
"48","search.google.com","1,453,154","95"
"49","wikimedia.org","2,031,446","95"
"50","cnn.com","1,631,892","95"
"51","dailymotion.com","1,136,607","95"
"52","feedburner.com","1,802,035","95"
"53","myspace.com","1,378,404","95"
"54","imdb.com","1,514,277","95"
"55","theguardian.com","1,572,870","95"
"56","nih.gov","1,443,789","95"
"57","globo.com","451,061","95"
"58","medium.com","1,729,099","95"
"59","live.com","931,766","95"
"60","developers.google.com","1,117,749","95"
"61","buydomains.com","1,076,144","95"
"62","mail.ru","483,386","95"
"63","bbc.co.uk","1,734,964","95"
"64","es.wikipedia.org","958,594","95"
"65","jimdofree.com","1,717,046","95"
"66","google.de","1,124,481","95"
"67","fr.wikipedia.org","632,964","95"
"68","google.co.jp","657,528","95"
"69","pt.wikipedia.org","416,844","95"
"70","draft.blogger.com","10,991,545","95"
"71","nytimes.com","2,179,776","95"
"72","gstatic.com","625,346","95"
"73","slideshare.net","1,005,195","95"
"74","who.int","2,000,381","95"
"75","issuu.com","992,262","95"
"76","enable-javascript.com","9,110,962","95"
"77","files.wordpress.com","7,647,122","95"
"78","news.google.com","791,009","95"
"79","tools.google.com","1,717,381","95"
"80","samsung.com","397,084","94"
"81","ig.com.br","157,726","94"
"82","businessinsider.com","861,472","94"
"83","goo.gl","4,702,437","94"
"84","amazon.co.jp","862,704","94"
"85","sedo.com","2,383,865","94"
"86","google.co.uk","598,882","94"
"87","webmd.com","789,603","94"
"88","aliexpress.com","518,880","94"
"89","thesun.co.uk","418,525","94"
"90","news.yahoo.com","689,620","94"
"91","huffpost.com","1,209,888","94"
"92","tiktok.com","653,825","94"
"93","4shared.com","561,096","94"
"94","ru.wikipedia.org","377,216","94"
"95","hatena.ne.jp","1,514,450","94"
"96","telegraph.co.uk","1,001,823","94"
"97","huffingtonpost.com","1,086,273","94"
"98","usatoday.com","864,006","94"
"99","independent.co.uk","767,162","94"
"100","nature.com","617,018","94"
"101","scribd.com","768,651","94"
"102","pinterest.com","8,574,655","94"
"103","storage.googleapis.com","846,151","94"
"104","archive.org","1,181,503","94"
"105","amazon.co.uk","780,244","94"
"106","myaccount.google.com","353,249","94"
"107","bbc.com","910,858","94"
"108","bit.ly","4,890,090","94"
"109","wikihow.com","615,246","94"
"110","afternic.com","2,899,844","94"
"111","un.org","603,106","94"
"112","foxnews.com","587,641","94"
"113","change.org","501,159","94"
"114","indiatimes.com","482,645","94"
"115","get.google.com","644,658","94"
"116","researchgate.net","708,785","94"
"117","washingtonpost.com","1,166,742","94"
"118","wa.me","1,273,608","94"
"119","forms.gle","749,480","94"
"120","google.fr","410,862","94"
"121","www.gov.uk","628,300","94"
"122","namecheap.com","1,123,041","94"
"123","soundcloud.com","1,828,997","94"
"124","netvibes.com","1,219,346","94"
"125","elpais.com","428,654","94"
"126","plesk.com","699,198","94"
"127","office.com","579,919","94"
"128","opera.com","937,855","94"
"129","dailymail.co.uk","1,120,495","94"
"130","domainmarket.com","1,089,025","94"
"131","time.com","829,041","94"
"132","it.wikipedia.org","338,504","94"
"133","shopify.com","2,485,370","94"
"134","google.pl","197,841","94"
"135","de.wikipedia.org","674,692","94"
"136","msn.com","1,104,834","94"
"137","mirror.co.uk","414,292","94"
"138","cnet.com","739,251","94"
"139","cpanel.net","1,727,170","94"
"140","google.it","442,639","94"
"141","cdc.gov","899,170","94"
"142","marketingplatform.google....","854,923","94"
"143","tinyurl.com","1,427,172","94"
"144","shutterstock.com","522,382","94"
"145","bloomberg.com","859,685","94"
"146","estadao.com.br","135,226","94"
"147","networkadvertising.org","738,207","94"
"148","telegram.me","370,567","94"
"149","fandom.com","608,063","94"
"150","list-manage.com","786,507","94"
"151","wsj.com","983,047","94"
"152","terra.com.br","200,509","94"
"153","yandex.ru","1,027,504","94"
"154","wikia.com","509,402","94"
"155","android.com","315,230","94"
"156","cbsnews.com","651,157","94"
"157","pixabay.com","473,346","94"
"158","t.co","2,143,149","94"
"159","picasaweb.google.com","634,785","94"
"160","aboutads.info","617,240","94"
"161","wp.com","2,094,818","94"
"162","mail.google.com","493,930","94"
"163","amazon.de","557,285","94"
"164","twitter.com","59,474,257","94"
"165","fb.com","459,664","94"
"166","abril.com.br","274,504","94"
"167","w3.org","1,130,632","94"
"168","ytimg.com","927,281","94"
"169","mediafire.com","860,760","94"
"170","imageshack.us","817,050","94"
"171","photos.google.com","277,883","94"
"172","nasa.gov","681,739","94"
"173","booking.com","405,789","94"
"174","reuters.com","935,596","94"
"175","amazon.es","190,931","94"
"176","linktr.ee","412,941","93"
"177","sciencedaily.com","370,672","93"
"178","skype.com","440,018","93"
"179","finance.yahoo.com","485,179","93"
"180","yahoo.co.jp","667,488","93"
"181","oup.com","418,161","93"
"182","akamaihd.net","592,439","93"
"183","cbc.ca","497,755","93"
"184","spotify.com","1,534,692","93"
"185","amzn.to","952,973","93"
"186","lemonde.fr","273,885","93"
"187","apache.org","998,559","93"
"188","lexpress.fr","120,703","93"
"189","vkontakte.ru","344,461","93"
"190","20minutos.es","176,372","93"
"191","xbox.com","200,645","93"
"192","pl.wikipedia.org","149,944","93"
"193","guardian.co.uk","610,575","93"
"194","alicdn.com","532,072","93"
"195","whitehouse.gov","404,080","93"
"196","as.com","158,707","93"
"197","addthis.com","663,316","93"
"198","e-monsite.com","147,727","93"
"199","offset.com","1,585,507","93"
"200","www.canalblog.com","408,480","93"
"201","www.livejournal.com","3,013,306","93"
"202","britannica.com","513,858","93"
"203","timeweb.ru","603,649","93"
"204","surveymonkey.com","451,624","93"
"205","alexa.com","320,253","93"
"206","webnode.page","500,137","93"
"207","cornell.edu","463,322","93"
"208","aol.com","694,053","93"
"209","ria.ru","198,763","93"
"210","translate.google.com","297,795","93"
"211","abc.es","207,577","93"
"212","books.google.com","439,049","93"
"213","photobucket.com","1,754,669","93"
"214","ovh.com","525,095","93"
"215","leparisien.fr","144,092","93"
"216","icann.org","643,074","93"
"217","akamaized.net","329,661","93"
"218","ibm.com","517,267","93"
"219","deezer.com","166,038","93"
"220","psychologytoday.com","387,401","93"
"221","ft.com","500,819","93"
"222","prezi.com","331,900","93"
"223","ziddu.com","190,896","93"
"224","disney.com","253,870","93"
"225","google.nl","252,149","93"
"226","privacyshield.gov","425,302","93"
"227","eventbrite.com","653,559","93"
"228","canada.ca","273,769","93"
"229","engadget.com","449,947","93"
"230","nginx.com","680,147","93"
"231","ggpht.com","787,424","93"
"232","liveinternet.ru","343,341","93"
"233","rapidshare.com","290,084","93"
"234","google.ca","342,219","93"
"235","francetvinfo.fr","175,431","93"
"236","arxiv.org","249,763","93"
"237","espn.com","396,594","93"
"238","ietf.org","392,324","93"
"239","id.wikipedia.org","539,222","93"
"240","alibaba.com","404,104","93"
"241","fb.me","337,201","93"
"242","windows.net","395,309","93"
"243","nbcnews.com","698,097","93"
"244","groups.google.com","356,814","93"
"245","pinterest.fr","127,442","93"
"246","gofundme.com","355,708","93"
"247","mega.nz","188,188","93"
"248","detik.com","425,885","93"
"249","stanford.edu","645,552","93"
"250","gnu.org","587,074","93"
"251","amazon.it","156,887","93"
"252","kickstarter.com","486,374","93"
"253","www.wikipedia.org","541,276","93"
"254","thetimes.co.uk","420,309","93"
"255","rambler.ru","929,931","93"
"256","doubleclick.net","596,916","93"
"257","hugedomains.com","16,229,152","93"
"258","plos.org","310,044","93"
"259","outlook.com","368,161","93"
"260","lefigaro.fr","226,849","93"
"261","unesco.org","339,787","93"
"262","clarin.com","147,455","93"
"263","www.wix.com","723,031","93"
"264","m.wikipedia.org","324,607","93"
"265","zdf.de","145,998","93"
"266","rtve.es","189,558","93"
"267","freepik.com","345,360","93"
"268","gooyaabitemplates.com","515,086","93"
"269","vice.com","411,704","93"
"270","buzzfeed.com","624,750","93"
"271","redbull.com","163,966","93"
"272","picasa.google.com","257,586","93"
"273","sciencedirect.com","654,895","93"
"274","www.over-blog.com","815,521","93"
"275","sapo.pt","233,533","93"
"276","cointernet.com.co","568,398","93"
"277","discord.com","393,153","93"
"278","hp.com","485,387","93"
"279","ouest-france.fr","124,077","93"
"280","themeforest.net","533,393","93"
"281","elmundo.es","242,322","93"
"282","hubspot.com","335,015","93"
"283","imageshack.com","459,214","93"
"284","nydailynews.com","397,635","93"
"285","bandcamp.com","616,908","93"
"286","express.co.uk","383,022","93"
"287","ssl-images-amazon.com","566,643","93"
"288","secureserver.net","945,110","93"
"289","ja.wikipedia.org","366,940","93"
"290","cnil.fr","223,496","93"
"291","photos1.blogger.com","882,106","93"
"292","gmail.com","214,813","93"
"293","rt.com","320,624","93"
"294","playstation.com","250,555","93"
"295","rakuten.co.jp","644,617","93"
"296","metro.co.uk","276,059","93"
"297","academia.edu","393,843","93"
"298","instagram.com","26,990,454","93"
"299","xinhuanet.com","594,309","93"
"300","twitch.tv","466,721","93"
"301","dw.com","399,077","93"
"302","cnbc.com","574,453","93"
"303","newsweek.com","397,456","93"
"304","mit.edu","714,958","93"
"305","walmart.com","350,032","93"
"306","insider.com","364,675","93"
"307","godaddy.com","2,525,275","93"
"308","netflix.com","368,494","93"
"309","sputniknews.com","193,213","93"
"310","netlify.app","381,282","93"
"311","berkeley.edu","497,448","93"
"312","abc.net.au","419,768","93"
"313","instructables.com","355,670","93"
"314","pexels.com","339,961","93"
"315","tripadvisor.com","733,110","93"
"316","addtoany.com","705,129","93"
"317","ca.gov","523,717","93"
"318","oracle.com","606,135","93"
"319","huawei.com","1,948,952","93"
"320","naver.com","513,941","93"
"321","lg.com","143,881","93"
"322","sendspace.com","153,914","93"
"323","code.google.com","323,403","93"
"324","wired.com","689,314","93"
"325","bing.com","1,023,595","93"
"326","qq.com","4,178,117","93"
"327","goodreads.com","909,337","93"
"328","standard.co.uk","259,394","93"
"329","springer.com","509,106","93"
"330","php.net","664,478","93"
