image,name,type
https://www.google.com/s2/favicons?domain=youtube.com,youtube.com,Giải Trí
https://www.google.com/s2/favicons?domain=google.com,google.com,Công nghệ
https://www.google.com/s2/favicons?domain=facebook.com,facebook.com,Công nghệ
https://www.google.com/s2/favicons?domain=vnexpress.net,vnexpress.net,Tin tức
https://www.google.com/s2/favicons?domain=truyenfull.vn,truyenfull.vn,Giải Trí
https://www.google.com/s2/favicons?domain=hentaivn.moe,hentaivn.moe,
https://www.google.com/s2/favicons?domain=metruyenchu.com,metruyenchu.com,Trò chơi
https://www.google.com/s2/favicons?domain=shopee.vn,shopee.vn,TMDT
https://www.google.com/s2/favicons?domain=24h.com.vn,24h.com.vn,Tin tức
https://www.google.com/s2/favicons?domain=wikipedia.org,wikipedia.org,Tài liệu
https://www.google.com/s2/favicons?domain=nettruyenmoi.com,nettruyenmoi.com,
https://www.google.com/s2/favicons?domain=vlxx.sex,vlxx.sex,
https://www.google.com/s2/favicons?domain=zingnews.vn,zingnews.vn,Tin tức
https://www.google.com/s2/favicons?domain=pornhub.com,pornhub.com,Người lớn
https://www.google.com/s2/favicons?domain=google.com.vn,google.com.vn,Công nghệ
https://www.google.com/s2/favicons?domain=animevietsub.tv,animevietsub.tv,Giải Trí
https://www.google.com/s2/favicons?domain=xosohomnay.com.vn,xosohomnay.com.vn,Social Casino
https://www.google.com/s2/favicons?domain=thegioididong.com,thegioididong.com,Công nghệ
https://www.google.com/s2/favicons?domain=xvideos.com,xvideos.com,Người lớn
https://www.google.com/s2/favicons?domain=lazada.vn,lazada.vn,TMDT
https://www.google.com/s2/favicons?domain=kenh14.vn,kenh14.vn,Tin tức
https://www.google.com/s2/favicons?domain=hentaiz.cc,hentaiz.cc,Người lớn
https://www.google.com/s2/favicons?domain=xvideos98.xxx,xvideos98.xxx,
https://www.google.com/s2/favicons?domain=spankbang.com,spankbang.com,Người lớn
https://www.google.com/s2/favicons?domain=wordpress.com,wordpress.com,Công nghệ
https://www.google.com/s2/favicons?domain=zalo.me,zalo.me,Công nghệ
https://www.google.com/s2/favicons?domain=wikinu.net,wikinu.net,
https://www.google.com/s2/favicons?domain=motchill.net,motchill.net,
https://www.google.com/s2/favicons?domain=truyengihot.net,truyengihot.net,Giải Trí
https://www.google.com/s2/favicons?domain=xoso.com.vn,xoso.com.vn,Social Casino
https://www.google.com/s2/favicons?domain=truyenyy.vip,truyenyy.vip,Giải Trí
https://www.google.com/s2/favicons?domain=truyenqqpro.com,truyenqqpro.com,
https://www.google.com/s2/favicons?domain=dantri.com.vn,dantri.com.vn,Tin tức
https://www.google.com/s2/favicons?domain=tuoitre.vn,tuoitre.vn,Tin tức
https://www.google.com/s2/favicons?domain=kqxs.me,kqxs.me,Social Casino
https://www.google.com/s2/favicons?domain=xosodaiphat.com,xosodaiphat.com,Social Casino
https://www.google.com/s2/favicons?domain=vinmec.com,vinmec.com,Sức khỏe
https://www.google.com/s2/favicons?domain=twitter.com,twitter.com,Công nghệ
https://www.google.com/s2/favicons?domain=fandom.com,fandom.com,Giải Trí
https://www.google.com/s2/favicons?domain=dualeotruyenpro.com,dualeotruyenpro.com,
https://www.google.com/s2/favicons?domain=javhd.onl,javhd.onl,
https://www.google.com/s2/favicons?domain=tiktok.com,tiktok.com,Công nghệ
https://www.google.com/s2/favicons?domain=vietnamnet.vn,vietnamnet.vn,Tin tức
https://www.google.com/s2/favicons?domain=vietjack.com,vietjack.com,Khoa học
https://www.google.com/s2/favicons?domain=reddit.com,reddit.com,Công nghệ
https://www.google.com/s2/favicons?domain=soha.vn,soha.vn,Tin tức
https://www.google.com/s2/favicons?domain=thanhnien.vn,thanhnien.vn,Tin tức
https://www.google.com/s2/favicons?domain=baomoi.com,baomoi.com,Tin tức
https://www.google.com/s2/favicons?domain=bongdaplus.vn,bongdaplus.vn,Tin tức
https://www.google.com/s2/favicons?domain=mixedmartialarts.com,mixedmartialarts.com,Thể thao
