"image","name","type"
"https://www.google.com/s2/favicons?domain=phimmoichill.net","phimmoichill.net",""
"https://www.google.com/s2/favicons?domain=xsmn.me","xsmn.me","Social Casino"
"https://www.google.com/s2/favicons?domain=vtv.vn","vtv.vn","Tin tức"
"https://www.google.com/s2/favicons?domain=vtv8.vtv.vn","vtv8.vtv.vn",""
"https://www.google.com/s2/favicons?domain=english.vtv.vn","english.vtv.vn",""
"https://www.google.com/s2/favicons?domain=stackoverflow.com","stackoverflow.com","Công nghệ"
"https://www.google.com/s2/favicons?domain=genk.vn","genk.vn","Công nghệ"
"https://www.google.com/s2/favicons?domain=gamek.vn","gamek.vn","Trò chơi"
"https://www.google.com/s2/favicons?domain=thuvienphapluat.vn","thuvienphapluat.vn","Chính phủ"
"https://www.google.com/s2/favicons?domain=keonhacai3.com","keonhacai3.com",""
"https://www.google.com/s2/favicons?domain=vnedu.vn","vnedu.vn","Khoa học"
"https://www.google.com/s2/favicons?domain=vndoc.com","vndoc.com","Khoa học"
"https://www.google.com/s2/favicons?domain=dichtruyentop.com","dichtruyentop.com",""
"https://www.google.com/s2/favicons?domain=apkmody.io","apkmody.io","Trò chơi"
"https://www.google.com/s2/favicons?domain=laodong.vn","laodong.vn","Tin tức"
"https://www.google.com/s2/favicons?domain=hoc24.vn","hoc24.vn","Khoa học"
"https://www.google.com/s2/favicons?domain=kiemlua.com","kiemlua.com","Trò chơi"
"https://www.google.com/s2/favicons?domain=ketqua24h.vn","ketqua24h.vn","Social Casino"
"https://www.google.com/s2/favicons?domain=mangadex.org","mangadex.org","Giải Trí"
"https://www.google.com/s2/favicons?domain=taimienphi.vn","taimienphi.vn","Công nghệ"
"https://www.google.com/s2/favicons?domain=bit.ly","bit.ly","Công nghệ"
"https://www.google.com/s2/favicons?domain=sayhentai.tv","sayhentai.tv",""
"https://www.google.com/s2/favicons?domain=github.com","github.com","Công nghệ"
"https://www.google.com/s2/favicons?domain=inetcenter.vn","inetcenter.vn","Công nghệ"
"https://www.google.com/s2/favicons?domain=lxhentai.com","lxhentai.com","Người lớn"
"https://www.google.com/s2/favicons?domain=vuighe.net","vuighe.net","Giải Trí"
"https://www.google.com/s2/favicons?domain=loigiaihay.com","loigiaihay.com","Khoa học"
"https://www.google.com/s2/favicons?domain=rphangs.com","rphangs.com",""
"https://www.google.com/s2/favicons?domain=fptshop.com.vn","fptshop.com.vn","Công nghệ"
"https://www.google.com/s2/favicons?domain=y2mate.com","y2mate.com","Công nghệ"
"https://www.google.com/s2/favicons?domain=thumbzilla.com","thumbzilla.com","Người lớn"
"https://www.google.com/s2/favicons?domain=viet69.in","viet69.in",""
"https://www.google.com/s2/favicons?domain=t.co","t.co",""
"https://www.google.com/s2/favicons?domain=xuantocdo.vn","xuantocdo.vn","Social Casino"
"https://www.google.com/s2/favicons?domain=mi2mangaco.com","mi2mangaco.com",""
"https://www.google.com/s2/favicons?domain=bongda24h.vn","bongda24h.vn","Thể thao"
"https://www.google.com/s2/favicons?domain=rule34.xxx","rule34.xxx","Người lớn"
"https://www.google.com/s2/favicons?domain=pinterest.com","pinterest.com","Công nghệ"
"https://www.google.com/s2/favicons?domain=bongda.com.vn","bongda.com.vn","Thể thao"
"https://www.google.com/s2/favicons?domain=tuoi69.live","tuoi69.live",""
"https://www.google.com/s2/favicons?domain=eva.vn","eva.vn","Tin tức"
"https://www.google.com/s2/favicons?domain=hn.eva.vn","hn.eva.vn",""
"https://www.google.com/s2/favicons?domain=m.eva.vn","m.eva.vn",""
"https://www.google.com/s2/favicons?domain=vfc.vtv.vn","vfc.vtv.vn",""
"https://www.google.com/s2/favicons?domain=ssphim.net","ssphim.net",""
"https://www.google.com/s2/favicons?domain=vhu.edu.vn","vhu.edu.vn","Khoa học"
"https://www.google.com/s2/favicons?domain=subnhanh.net","subnhanh.net","Đời sống"
"https://www.google.com/s2/favicons?domain=sstruyen.com","sstruyen.com","Giải Trí"
"https://www.google.com/s2/favicons?domain=download.vn","download.vn","Khoa học"
"https://www.google.com/s2/favicons?domain=vietstock.vn","vietstock.vn","Tài chính"
